X [s].2,L DELTOID ANTERIOR: EMG 3 [V],X [s].3,L BICEPS BRACHII: EMG 4 [V],X [s].4,L DELTOID POSTERIOR: EMG 5 [V],X [s].7,L DELTOID MEDIUS: EMG 8 [V]
0.0,-6.88182e-06,0.0,-3.57519e-05,0.0,-6.88182e-06,0.0,-1.72885e-05
0.000794117179931,-2.8534441600231627e-06,0.000794117179931,-7.553249120182789e-06,0.000794117179931,-9.567407226647784e-06,0.000794117179931,-1.7959899306659366e-05
0.0015882343598621,1.8463066204851308e-06,0.0015882343598621,1.8463215220679663e-05,0.0015882343598621,-1.1749384502728289e-05,0.0015882343598621,-1.4938621458350872e-05
0.0023823515397932,1.1749334908388958e-06,0.0023823515397932,2.2491778194277337e-05,0.0023823515397932,-1.0910205207359906e-05,0.0023823515397932,-1.2420795769117023e-05
0.0031764687197242,-2.1820345878960624e-06,0.0031764687197242,1.1245918130575597e-05,0.0031764687197242,-1.3595795670291057e-05,0.0031764687197242,-1.0238803517807906e-05
0.0039705858996553,1.0070835332529998e-06,0.0039705858996553,1.1749920002102043e-06,0.0039705858996553,-1.4602894799958326e-05,0.0039705858996553,-1.15815930666111e-05
0.0047647030795864,1.846332686385068e-06,0.0047647030795864,-2.6519958648790035e-05,0.0047647030795864,-1.426720292548083e-05,0.0047647030795864,-1.15816e-05
0.0055588202595174,2.5177402194127405e-06,0.0055588202595174,-5.18653981349917e-05,0.0055588202595174,-1.2924399341761775e-05,0.0055588202595174,-1.1749400877650962e-05
0.0063529374394485,3.189137835145528e-06,0.0063529374394485,-4.615851840126301e-05,0.0063529374394485,-1.0910206494563416e-05,0.0063529374394485,-1.4434991340582113e-05
0.0071470546193796,2.5177445491216858e-06,0.0071470546193796,-3.3066388707195315e-05,0.0071470546193796,-9.567419098175616e-06,0.0071470546193796,-1.560999203869827e-05
0.0079411717993107,1.8463469333888983e-06,0.0079411717993107,-1.0574732267495429e-05,0.0079411717993107,-1.3595758399769876e-05,0.0079411717993107,-1.3595820800166696e-05
0.0087352889792417,5.035497260404419e-07,0.0087352889792417,-8.224613020575916e-06,0.0087352889792417,-1.6281396547898548e-05,0.0087352889792417,-1.0238804315126812e-05
0.0095294061591728,1.5106351291161295e-06,0.0095294061591728,-2.56808155712076e-05,0.0095294061591728,-1.62814e-05,0.0095294061591728,-9.231714870874196e-06
0.0103235233391039,3.18906106874352e-06,0.0103235233391039,-1.0909371222277209e-05,0.0103235233391039,-1.8295659198618705e-05,0.0103235233391039,-9.231566937259278e-06
0.0111176405190349,5.035394365147031e-07,0.0111176405190349,1.728891104219238e-05,0.0111176405190349,-2.03098e-05,0.0111176405190349,-4.3641056904558905e-06
0.011911757698966,3.357069401014191e-07,0.011911757698966,2.5344770880458127e-05,0.011911757698966,-2.03098e-05,0.011911757698966,-4.867603179695743e-06
0.0127058748788971,3.5247291128157195e-06,0.0127058748788971,1.6617376110688777e-05,0.0127058748788971,-1.7624284958108382e-05,0.0127058748788971,-9.735106014061247e-06
0.0134999920588282,1.0071251778446996e-06,0.0134999920588282,1.1750944249408428e-06,0.0134999920588282,-1.8295593285854747e-05,0.0134999920588282,-8.896018392681567e-06
0.0142941092387592,1.1749204720481436e-06,0.0142941092387592,-5.874747339211712e-06,0.0142941092387592,-1.6617080471908532e-05,0.0142941092387592,-7.721071952692803e-06
0.0150882264186903,-5.03581500442827e-07,0.0150882264186903,-8.224799837018033e-06,0.0150882264186903,-1.4938544165485094e-05,0.0150882264186903,-7.888965834514906e-06
0.0158823435986214,-1.51056847975678e-06,0.0158823435986214,-1.39310947161125e-05,0.0158823435986214,-1.3260219201352257e-05,0.0158823435986214,-9.567290798647744e-06
0.0166764607785524,-1.51064e-06,0.0166764607785524,-1.762401761360125e-05,0.0166764607785524,-1.577767564810677e-05,0.0166764607785524,-1.0574450258748796e-05
0.0174705779584835,-3.524774092932869e-06,0.0174705779584835,-1.896696272843687e-05,0.0174705779584835,-1.695276738599443e-05,0.0174705779584835,-1.158157204632765e-05
0.0182646951384146,-2.8534441103385017e-06,0.0182646951384146,-2.0309791779200555e-05,0.0182646951384146,-1.6281404110399724e-05,0.0182646951384146,-1.0910204110399722e-05
0.0190588123183456,3.35698e-07,0.0190588123183456,-2.1316837510107297e-05,0.0190588123183456,-1.62814e-05,0.0190588123183456,-9.7352886410457e-06
0.0198529294982767,3.355546117811564e-07,0.0198529294982767,-1.728893639769961e-05,0.0198529294982767,-1.6281412468611822e-05,0.0198529294982767,-1.1581587531388177e-05
0.0206470466782078,-3.524570808018553e-06,0.0206470466782078,-2.9037111157057574e-05,0.0206470466782078,-1.661707746143839e-05,0.0206470466782078,-1.1245922538561609e-05
0.0214411638581389,-5.2032536064553e-06,0.0214411638581389,-7.905472348147053e-05,0.0214411638581389,-1.6952784721291063e-05,0.0214411638581389,-1.359569304903742e-05
0.0222352810380699,-5.20333e-06,0.0222352810380699,-0.0001089332865815,0.0222352810380699,-1.661710801601802e-05,0.0222352810380699,-1.0910264128144148e-05
0.023029398218001,-1.846347533248532e-06,0.023029398218001,-0.000100206019586,0.023029398218001,-1.292440828659807e-05,0.023029398218001,-1.174939811679446e-05
0.0238235153979321,-5.035935653916357e-07,0.0238235153979321,-4.246479992139204e-05,0.0238235153979321,-1.4267193490636176e-05,0.0238235153979321,-1.4435009765015256e-05
0.0246176325778631,-2.8536190133482537e-06,0.0246176325778631,1.426871472706923e-05,0.0246176325778631,-1.3931486229679337e-05,0.0246176325778631,-1.4938579342468016e-05
