timestamp,set_number,rep_number
2025-11-16 13:15:00,1,1
2025-11-16 13:15:02,1,2
2025-11-16 13:15:04,1,3
2025-11-16 13:15:06,1,4
2025-11-16 13:15:08,1,5
2025-11-16 13:15:10,1,6
2025-11-16 13:15:12,1,7
2025-11-16 13:15:14,1,8
2025-11-16 13:15:15,1,9
2025-11-16 13:15:17,1,10
2025-11-16 13:15:52,2,1
2025-11-16 13:15:54,2,2
2025-11-16 13:15:55,2,3
2025-11-16 13:15:57,2,4
2025-11-16 13:15:59,2,5
2025-11-16 13:16:01,2,6
2025-11-16 13:16:02,2,7
2025-11-16 13:16:04,2,8
2025-11-16 13:16:06,2,9
2025-11-16 13:16:08,2,10
2025-11-16 13:16:42,3,1
2025-11-16 13:16:44,3,2
2025-11-16 13:16:46,3,3
2025-11-16 13:16:48,3,4
2025-11-16 13:16:49,3,5
2025-11-16 13:16:51,3,6
2025-11-16 13:16:53,3,7
2025-11-16 13:16:55,3,8
2025-11-16 13:16:56,3,9
2025-11-16 13:16:58,3,10
2025-11-16 13:17:32,4,1
2025-11-16 13:17:34,4,2
2025-11-16 13:17:36,4,3
2025-11-16 13:17:37,4,4
2025-11-16 13:17:39,4,5
2025-11-16 13:17:41,4,6
2025-11-16 13:17:43,4,7
2025-11-16 13:17:45,4,8
2025-11-16 13:17:46,4,9
2025-11-16 13:17:48,4,10
2025-11-16 13:18:22,5,1
2025-11-16 13:18:24,5,2
2025-11-16 13:18:25,5,3
2025-11-16 13:18:27,5,4
2025-11-16 13:18:29,5,5
2025-11-16 13:18:30,5,6
2025-11-16 13:18:32,5,7
2025-11-16 13:18:34,5,8
2025-11-16 13:18:36,5,9
2025-11-16 13:18:38,5,10
2025-11-16 13:19:12,6,1
2025-11-16 13:19:13,6,2
2025-11-16 13:19:15,6,3
2025-11-16 13:19:17,6,4
2025-11-16 13:19:18,6,5
2025-11-16 13:19:20,6,6
2025-11-16 13:19:22,6,7
2025-11-16 13:19:24,6,8
2025-11-16 13:19:26,6,9
2025-11-16 13:19:28,6,10
2025-11-16 13:20:00,7,1
2025-11-16 13:20:01,7,2
2025-11-16 13:20:03,7,3
2025-11-16 13:20:05,7,4
2025-11-16 13:20:07,7,5
2025-11-16 13:20:08,7,6
2025-11-16 13:20:10,7,7
2025-11-16 13:20:12,7,8
2025-11-16 13:20:14,7,9
2025-11-16 13:20:17,7,10
2025-11-16 13:20:51,8,1
2025-11-16 13:20:53,8,2
2025-11-16 13:20:55,8,3
2025-11-16 13:20:57,8,4
2025-11-16 13:20:59,8,5
2025-11-16 13:21:01,8,6
2025-11-16 13:21:03,8,7
2025-11-16 13:21:06,8,8
2025-11-16 13:21:08,8,9
2025-11-16 13:21:11,8,10
2025-11-16 13:21:45,9,1
2025-11-16 13:21:47,9,2
2025-11-16 13:21:48,9,3
2025-11-16 13:21:50,9,4
2025-11-16 13:21:51,9,5
2025-11-16 13:21:53,9,6
2025-11-16 13:21:55,9,7
2025-11-16 13:21:57,9,8
2025-11-16 13:21:59,9,9
2025-11-16 13:22:01,9,10
2025-11-16 13:22:35,10,1
2025-11-16 13:22:37,10,2
2025-11-16 13:22:39,10,3
2025-11-16 13:22:40,10,4
2025-11-16 13:22:42,10,5
2025-11-16 13:22:44,10,6
2025-11-16 13:22:47,10,7
2025-11-16 13:22:49,10,8
2025-11-16 13:22:51,10,9
2025-11-16 13:22:55,10,10
2025-11-16 13:23:29,11,1
2025-11-16 13:23:31,11,2
2025-11-16 13:23:33,11,3
2025-11-16 13:23:35,11,4
2025-11-16 13:23:37,11,5
2025-11-16 13:23:39,11,6
2025-11-16 13:23:41,11,7
2025-11-16 13:23:43,11,8
2025-11-16 13:23:45,11,9
2025-11-16 13:23:48,11,10
2025-11-16 13:24:22,12,1
2025-11-16 13:24:25,12,2
2025-11-16 13:24:27,12,3
2025-11-16 13:24:29,12,4
2025-11-16 13:24:32,12,5
2025-11-16 13:24:35,12,6
2025-11-16 13:24:39,12,7
2025-11-16 13:24:43,12,8
2025-11-16 13:24:48,12,9
