timestamp,set_number,rep_number
2025-11-12 16:52:52,17,4
2025-11-12 16:52:55,17,5
2025-11-12 16:52:58,17,6
2025-11-12 16:53:02,17,7
2025-11-12 16:53:05,17,8
2025-11-12 16:53:09,17,9
2025-11-12 16:53:13,17,10
2025-11-12 16:53:48,18,1
2025-11-12 16:53:52,18,2
2025-11-12 16:53:56,18,3
2025-11-12 16:54:00,18,4
2025-11-12 16:54:03,18,5
2025-11-12 16:54:06,18,6
2025-11-12 16:54:10,18,7
2025-11-12 16:54:13,18,8
2025-11-12 16:54:17,18,9
2025-11-12 16:54:20,18,10
2025-11-12 16:54:56,19,1
2025-11-12 16:54:59,19,2
2025-11-12 16:55:03,19,3
2025-11-12 16:55:07,19,4
2025-11-12 16:55:10,19,5
2025-11-12 16:55:14,19,6
2025-11-12 16:55:17,19,7
2025-11-12 16:55:21,19,8
2025-11-12 16:55:24,19,9
2025-11-12 16:55:28,19,10
2025-11-12 16:56:05,20,1
2025-11-12 16:56:08,20,2
2025-11-12 16:56:12,20,3
2025-11-12 16:56:16,20,4
2025-11-12 16:56:19,20,5
2025-11-12 16:56:22,20,6
2025-11-12 16:56:26,20,7
2025-11-12 16:56:29,20,8
2025-11-12 16:56:34,20,9
2025-11-12 16:56:37,20,10
2025-11-12 16:57:13,21,1
2025-11-12 16:57:16,21,2
2025-11-12 16:57:20,21,3
2025-11-12 16:57:22,21,4
2025-11-12 16:57:25,21,5
2025-11-12 16:57:28,21,6
2025-11-12 16:57:31,21,7
2025-11-12 16:57:35,21,8
2025-11-12 16:57:39,21,9
2025-11-12 16:57:43,21,10
2025-11-12 16:58:39,22,1
2025-11-12 16:58:43,22,2
2025-11-12 16:58:47,22,3
2025-11-12 16:58:51,22,4
2025-11-12 16:58:55,22,5
2025-11-12 16:59:00,22,6
2025-11-12 16:59:03,22,7
2025-11-12 16:59:07,22,8
2025-11-12 16:59:11,22,9
2025-11-12 16:59:15,22,10
2025-11-12 16:59:48,23,1
2025-11-12 16:59:52,23,2
2025-11-12 16:59:56,23,3
2025-11-12 17:00:00,23,4
2025-11-12 17:00:03,23,5
2025-11-12 17:00:07,23,6
2025-11-12 17:00:10,23,7
2025-11-12 17:00:14,23,8
2025-11-12 17:00:18,23,9
2025-11-12 17:00:22,23,10
2025-11-12 17:00:57,24,1
2025-11-12 17:01:01,24,2
2025-11-12 17:01:01,24,3
2025-11-12 17:01:04,24,4
