timestamp,set_number,rep_number
2025-11-14 14:30:48,1,1
2025-11-14 14:30:51,1,2
2025-11-14 14:30:54,1,3
2025-11-14 14:30:56,1,4
2025-11-14 14:30:59,1,5
2025-11-14 14:31:01,1,6
2025-11-14 14:31:04,1,7
2025-11-14 14:31:06,1,8
2025-11-14 14:31:09,1,9
2025-11-14 14:31:13,1,10
2025-11-14 14:31:46,2,1
2025-11-14 14:31:48,2,2
2025-11-14 14:31:51,2,3
2025-11-14 14:31:54,2,4
2025-11-14 14:31:56,2,5
2025-11-14 14:31:58,2,6
2025-11-14 14:32:01,2,7
2025-11-14 14:32:04,2,8
2025-11-14 14:32:07,2,9
2025-11-14 14:32:09,2,10
2025-11-14 14:32:42,3,1
2025-11-14 14:32:44,3,2
2025-11-14 14:32:47,3,3
2025-11-14 14:32:49,3,4
2025-11-14 14:32:52,3,5
2025-11-14 14:32:55,3,6
2025-11-14 14:32:58,3,7
2025-11-14 14:33:01,3,8
2025-11-14 14:33:05,3,9
2025-11-14 14:33:08,3,10
2025-11-14 14:33:40,4,1
2025-11-14 14:33:42,4,2
2025-11-14 14:33:44,4,3
2025-11-14 14:33:48,4,4
2025-11-14 14:33:51,4,5
2025-11-14 14:33:53,4,6
2025-11-14 14:33:56,4,7
2025-11-14 14:33:59,4,8
2025-11-14 14:34:02,4,9
2025-11-14 14:34:04,4,10
2025-11-14 14:34:36,5,1
2025-11-14 14:34:38,5,2
2025-11-14 14:34:41,5,3
2025-11-14 14:34:44,5,4
2025-11-14 14:34:47,5,5
2025-11-14 14:34:50,5,6
2025-11-14 14:34:52,5,7
2025-11-14 14:34:55,5,8
2025-11-14 14:34:59,5,9
2025-11-14 14:35:02,5,10
2025-11-14 14:35:34,6,1
2025-11-14 14:35:36,6,2
2025-11-14 14:35:39,6,3
2025-11-14 14:35:41,6,4
2025-11-14 14:35:44,6,5
2025-11-14 14:35:47,6,6
2025-11-14 14:35:50,6,7
2025-11-14 14:35:52,6,8
2025-11-14 14:35:55,6,9
2025-11-14 14:35:58,6,10
2025-11-14 14:36:31,7,1
2025-11-14 14:36:33,7,2
2025-11-14 14:36:35,7,3
2025-11-14 14:36:38,7,4
2025-11-14 14:36:41,7,5
2025-11-14 14:36:44,7,6
2025-11-14 14:36:47,7,7
2025-11-14 14:36:49,7,8
2025-11-14 14:36:51,7,9
2025-11-14 14:36:52,7,10
2025-11-14 14:37:26,8,1
2025-11-14 14:37:29,8,2
2025-11-14 14:37:31,8,3
2025-11-14 14:37:34,8,4
2025-11-14 14:37:37,8,5
2025-11-14 14:37:40,8,6
2025-11-14 14:37:41,8,7
2025-11-14 14:37:44,8,8
2025-11-14 14:37:48,8,9
2025-11-14 14:37:50,8,10
2025-11-14 14:38:26,9,1
2025-11-14 14:38:29,9,2
2025-11-14 14:38:33,9,3
2025-11-14 14:38:35,9,4
2025-11-14 14:38:37,9,5
2025-11-14 14:38:41,9,6
2025-11-14 14:38:44,9,7
2025-11-14 14:38:46,9,8
2025-11-14 14:38:49,9,9
2025-11-14 14:38:52,9,10
2025-11-14 14:39:24,10,1
2025-11-14 14:39:27,10,2
2025-11-14 14:39:29,10,3
2025-11-14 14:39:33,10,4
2025-11-14 14:39:36,10,5
2025-11-14 14:39:39,10,6
2025-11-14 14:39:42,10,7
2025-11-14 14:39:44,10,8
2025-11-14 14:39:47,10,9
2025-11-14 14:39:50,10,10
2025-11-14 14:40:23,11,1
2025-11-14 14:40:26,11,2
2025-11-14 14:40:29,11,3
2025-11-14 14:40:31,11,4
2025-11-14 14:40:34,11,5
2025-11-14 14:40:37,11,6
2025-11-14 14:40:40,11,7
2025-11-14 14:40:44,11,8
2025-11-14 14:40:46,11,9
2025-11-14 14:40:48,11,10
2025-11-14 14:41:20,12,1
2025-11-14 14:41:23,12,2
2025-11-14 14:41:26,12,3
2025-11-14 14:41:29,12,4
2025-11-14 14:41:32,12,5
2025-11-14 14:41:35,12,6
2025-11-14 14:41:38,12,7
2025-11-14 14:41:41,12,8
2025-11-14 14:41:43,12,9
2025-11-14 14:41:47,12,10
2025-11-14 14:42:18,13,1
2025-11-14 14:42:22,13,2
2025-11-14 14:42:25,13,3
2025-11-14 14:42:28,13,4
2025-11-14 14:42:31,13,5
2025-11-14 14:42:34,13,6
2025-11-14 14:42:37,13,7
2025-11-14 14:42:40,13,8
2025-11-14 14:42:42,13,9
2025-11-14 14:42:45,13,10
2025-11-14 14:43:19,14,1
2025-11-14 14:43:22,14,2
2025-11-14 14:43:24,14,3
2025-11-14 14:43:27,14,4
2025-11-14 14:43:30,14,5
2025-11-14 14:43:34,14,6
2025-11-14 14:43:37,14,7
2025-11-14 14:43:40,14,8
2025-11-14 14:43:43,14,9
2025-11-14 14:43:46,14,10
2025-11-14 14:44:21,15,1
2025-11-14 14:44:24,15,2
2025-11-14 14:44:26,15,3
2025-11-14 14:44:28,15,4
2025-11-14 14:44:32,15,5
2025-11-14 14:44:35,15,6
2025-11-14 14:44:37,15,7
2025-11-14 14:44:40,15,8
2025-11-14 14:44:43,15,9
2025-11-14 14:44:46,15,10
2025-11-14 14:45:20,16,1
2025-11-14 14:45:23,16,2
2025-11-14 14:45:25,16,3
2025-11-14 14:45:28,16,4
2025-11-14 14:45:32,16,5
2025-11-14 14:45:33,16,6
2025-11-14 14:45:36,16,7
2025-11-14 14:45:40,16,8
2025-11-14 14:45:44,16,9
2025-11-14 14:45:45,16,10
2025-11-14 14:46:17,17,1
2025-11-14 14:46:20,17,2
2025-11-14 14:46:23,17,3
2025-11-14 14:46:25,17,4
2025-11-14 14:46:27,17,5
2025-11-14 14:46:30,17,6
2025-11-14 14:46:33,17,7
2025-11-14 14:46:36,17,8
2025-11-14 14:46:39,17,9
2025-11-14 14:46:41,17,10
2025-11-14 14:47:14,18,1
2025-11-14 14:47:16,18,2
2025-11-14 14:47:19,18,3
2025-11-14 14:47:22,18,4
2025-11-14 14:47:25,18,5
2025-11-14 14:47:28,18,6
2025-11-14 14:47:30,18,7
2025-11-14 14:47:33,18,8
2025-11-14 14:47:35,18,9
2025-11-14 14:47:38,18,10
2025-11-14 14:48:12,19,1
2025-11-14 14:48:14,19,2
2025-11-14 14:48:16,19,3
2025-11-14 14:48:19,19,4
2025-11-14 14:48:21,19,5
2025-11-14 14:48:24,19,6
2025-11-14 14:48:26,19,7
2025-11-14 14:48:28,19,8
2025-11-14 14:48:30,19,9
2025-11-14 14:48:33,19,10
2025-11-14 14:49:05,20,1
2025-11-14 14:49:07,20,2
2025-11-14 14:49:11,20,3
2025-11-14 14:49:13,20,4
2025-11-14 14:49:15,20,5
2025-11-14 14:49:19,20,6
2025-11-14 14:49:21,20,7
2025-11-14 14:49:24,20,8
2025-11-14 14:49:26,20,9
2025-11-14 14:49:28,20,10
2025-11-14 14:50:00,21,1
2025-11-14 14:50:02,21,2
2025-11-14 14:50:05,21,3
2025-11-14 14:50:07,21,4
2025-11-14 14:50:09,21,5
2025-11-14 14:50:12,21,6
2025-11-14 14:50:15,21,7
2025-11-14 14:50:18,21,8
2025-11-14 14:50:20,21,9
2025-11-14 14:50:23,21,10
2025-11-14 14:50:58,22,1
2025-11-14 14:51:01,22,2
2025-11-14 14:51:03,22,3
2025-11-14 14:51:06,22,4
2025-11-14 14:51:09,22,5
2025-11-14 14:51:11,22,6
2025-11-14 14:51:14,22,7
2025-11-14 14:51:17,22,8
2025-11-14 14:51:19,22,9
