time_ms, emg_value
1762113748043,48
1762113748043,41
1762113748090,46
1762113748090,48
1762113748090,48
1762113748090,45
1762113748132,39
1762113748132,37
1762113748132,25
1762113748132,30
1762113748174,17
1762113748174,17
1762113748174,16
1762113748174,20
1762113748219,15
1762113748219,18
1762113748219,25
1762113748219,70
1762113748303,80
1762113748303,64
1762113748303,60
1762113748303,47
1762113748347,45
1762113748347,54
1762113748347,47
1762113748347,47
1762113748410,25
1762113748410,22
1762113748410,48
1762113748410,70
1762113748447,52
1762113748447,49
1762113748447,44
1762113748447,32
1762113748498,27
1762113748498,46
1762113748498,52
1762113748498,34
1762113748565,34
1762113748565,24
1762113748565,33
1762113748565,48
1762113748607,48
1762113748607,48
1762113748607,60
1762113748607,53
1762113748659,45
1762113748659,37
1762113748659,38
1762113748659,34
1762113748696,27
1762113748696,42
1762113748696,42
1762113748696,32
1762113748740,30
1762113748740,30
1762113748740,28
1762113748740,16
1762113748786,27
1762113748786,45
1762113748786,46
1762113748786,35
1762113748827,33
1762113748827,48
1762113748827,46
1762113748827,26
1762113748873,49
1762113748873,61
1762113748873,60
1762113748873,58
1762113748927,35
1762113748927,48
1762113748927,29
1762113748927,42
1762113748971,43
1762113748971,48
1762113748971,47
1762113748971,48
1762113749046,43
1762113749046,35
1762113749046,45
1762113749046,55
1762113749107,44
1762113749107,37
1762113749107,31
1762113749107,45
1762113749148,54
1762113749148,46
1762113749148,45
1762113749148,38
1762113749223,32
1762113749223,59
1762113749223,45
1762113749223,49
1762113749258,55
1762113749258,57
1762113749258,49
1762113749258,43
1762113749341,40
1762113749341,43
1762113749341,35
1762113749341,25
1762113749384,28
1762113749384,32
1762113749384,22
1762113749384,27
1762113749434,35
1762113749434,34
1762113749434,17
1762113749434,24
1762113749482,25
1762113749482,56
1762113749482,50
1762113749482,48
1762113749528,36
1762113749528,39
1762113749528,19
1762113749528,37
1762113749590,32
1762113749590,53
1762113749590,45
1762113749590,45
1762113749774,61
1762113749774,55
1762113749774,51
1762113749774,57
1762113749830,59
1762113749830,48
1762113749830,62
1762113749830,48
1762113749883,64
1762113749883,61
1762113749883,51
1762113749883,48
1762113749924,43
1762113749924,43
1762113749924,34
1762113749924,38
1762113749974,48
1762113749974,68
1762113749974,57
1762113749974,47
1762113750017,28
1762113750017,33
1762113750017,41
1762113750017,45
1762113750065,27
1762113750065,36
1762113750065,36
1762113750065,65
1762113750117,76
1762113750117,79
1762113750117,64
1762113750117,64
1762113750168,53
1762113750168,48
1762113750168,34
1762113750168,38
1762113750213,45
1762113750213,28
1762113750213,16
1762113750213,26
1762113750250,19
1762113750250,17
1762113750250,25
1762113750250,21
1762113750292,27
1762113750292,47
1762113750292,47
1762113750292,41
1762113750360,32
1762113750360,40
1762113750360,48
1762113750360,46
1762113750408,43
1762113750408,49
1762113750408,29
1762113750408,38
1762113750448,34
1762113750448,32
1762113750448,30
1762113750448,38
1762113750496,41
1762113750496,39
1762113750496,31
1762113750496,33
1762113750546,49
1762113750546,48
1762113750546,43
1762113750546,51
1762113750581,34
1762113750581,43
1762113750581,16
1762113750581,32
1762113750649,60
1762113750649,63
1762113750649,48
1762113750649,45
1762113750699,30
1762113750699,31
1762113750699,49
1762113750699,41
1762113750769,38
1762113750769,48
1762113750769,49
1762113750769,25
1762113751609,22
1762113751609,34
1762113751609,34
1762113751609,42
1762113751657,54
1762113751657,46
1762113751657,37
1762113751657,46
1762113751702,48
1762113751702,48
1762113751702,51
1762113751702,48
1762113751747,38
1762113751747,45
1762113751747,37
1762113751747,45
1762113751801,32
1762113751801,49
1762113751801,50
1762113751801,45
1762113751846,36
1762113751846,48
1762113751846,48
1762113751846,50
1762113751898,34
1762113751898,39
1762113751898,37
1762113751898,23
1762113751950,32
1762113751950,39
1762113751950,36
1762113751950,22
1762113751987,35
1762113751987,51
1762113751987,43
1762113751987,34
1762113752032,38
1762113752032,34
1762113752032,35
1762113752032,33
1762113752087,41
1762113752087,41
1762113752087,23
1762113752087,34
1762113752168,33
1762113752168,26
1762113752168,30
1762113752168,48
1762113752212,30
1762113752212,44
1762113752212,50
1762113752212,30
1762113752251,39
1762113752251,29
1762113752251,39
1762113752251,37
1762113752306,32
1762113752306,64
1762113752306,52
1762113752306,48
1762113752360,45
1762113752360,32
1762113752360,34
1762113752360,32
1762113752415,44
1762113752415,48
1762113752415,47
1762113752415,57
1762113752480,70
1762113752480,70
1762113752480,58
1762113752480,56
1762113752518,41
1762113752518,48
1762113752518,47
1762113752518,39
1762113752562,51
1762113752562,43
1762113752562,48
1762113752562,38
1762113752618,37
1762113752618,50
1762113752618,61
1762113752618,50
1762113752659,58
1762113752659,48
1762113752659,66
1762113752659,64
1762113752703,62
1762113752703,49
1762113752703,53
1762113752703,48
1762113752751,46
1762113752751,41
1762113752751,41
1762113752751,46
1762113752791,48
1762113752791,30
1762113752791,29
1762113752791,29
1762113752852,26
1762113752852,37
1762113752852,37
1762113752852,52
1762113752890,39
1762113752890,28
1762113752890,35
1762113752890,46
1762113752959,50
1762113752959,33
1762113752959,37
1762113752959,48
1762113753004,38
1762113753004,48
1762113753004,42
1762113753004,47
1762113753048,32
1762113753048,33
1762113753048,23
1762113753048,28
