,0
std,0.5744163196587727
mean_freq,0.10432576448201368
ssc,0.09527311979816548
hurst_exp,0.07328121402851
zc,0.04499961422834683
wl,0.044088392082382806
spectral_entropy,0.04090882294656087
median_freq,0.015524688174724872
mean,0.007182064600522758
sample_entropy,0.0
lz_complexity,0.0
