X [s],R BICEPS BRACHII: EMG 1 [V],X [s].1,R DELTOID ANTERIOR: EMG 2 [V],X [s].5,R DELTOID MEDIUS: EMG 6 [V],X [s].6,R DELTOID POSTERIOR: EMG 7 [V]
0.0,-9.23171e-06,0.0,2.76951e-05,0.0,-3.97803e-05,0.0,-2.09812e-05
0.000794117179931,-1.0337535334041806e-05,0.000794117179931,4.6494249682954216e-05,0.000794117179931,-2.2304225286062885e-05,0.000794117179931,-1.7268753340418064e-05
0.0015882343598621,-8.145626630921198e-06,0.0015882343598621,4.572403481658008e-05,0.0015882343598621,9.261311053217158e-06,0.0015882343598621,-1.3299564331557344e-05
0.0023823515397932,-6.358524506983114e-06,0.0023823515397932,2.6984190579412014e-05,0.0023823515397932,3.219733859497939e-05,0.0023823515397932,-1.5017581972067544e-05
0.0031764687197242,-7.592703387115508e-06,0.0031764687197242,1.5925926198655183e-05,0.0031764687197242,4.880460905709709e-05,0.0031764687197242,-1.5057083351042095e-05
0.0039705858996553,-6.664623500233051e-06,0.0039705858996553,-2.9463219169738604e-08,0.0039705858996553,6.880812447810738e-05,0.0039705858996553,-7.711268482813956e-06
0.0047647030795864,-4.0086386626859534e-06,0.0047647030795864,-2.1336480866626625e-05,0.0047647030795864,9.809290663685122e-05,0.0047647030795864,1.2144311452118692e-06
0.0055588202595174,7.79957903586669e-07,0.0055588202595174,-3.902982062353993e-05,0.0055588202595174,0.0001230136667583,0.0055588202595174,5.104572310964328e-06
0.0063529374394485,2.655969874726889e-06,0.0063529374394485,-4.7047098072068606e-05,0.0063529374394485,0.0001250084227447,0.0063529374394485,7.711188502878352e-06
0.0071470546193796,-3.603764434646277e-06,0.0071470546193796,-4.7688945813926624e-05,0.0071470546193796,0.0001076704363639,0.0071470546193796,4.25551253381218e-06
0.0079411717993107,-5.045364098619094e-06,0.0079411717993107,-4.748153414919408e-05,0.0079411717993107,7.795124045492805e-05,0.0079411717993107,8.984982736936651e-07
0.0087352889792417,-1.3625671068873549e-06,0.0087352889792417,-5.4550975850075874e-05,0.0087352889792417,4.588239641548355e-05,0.0087352889792417,-2.892888058317687e-06
0.0095294061591728,-1.1551931233710569e-06,0.0095294061591728,-5.616036304171089e-05,0.0095294061591728,-1.1443141095371096e-05,0.0095294061591728,-1.126562989571507e-05
0.0103235233391039,-3.722153108416512e-06,0.0103235233391039,-4.914022265899819e-05,0.0103235233391039,-8.676697802158986e-05,0.0103235233391039,-1.7308144424539447e-05
0.0111176405190349,-7.39525860141822e-06,0.0111176405190349,-4.71656e-05,0.0111176405190349,-0.0001075318291752,0.0111176405190349,-1.8078371048936336e-05
0.011911757698966,-6.674512844928805e-06,0.011911757698966,-4.590179114373724e-05,0.011911757698966,-8.330122118348027e-05,0.011911757698966,-1.9361990459905075e-05
0.0127058748788971,-1.0445983112583824e-05,0.0127058748788971,-4.819243162466106e-05,0.0127058748788971,-5.159041161394587e-05,0.0127058748788971,-1.8532591306453777e-05
0.0134999920588282,-1.107811145200565e-05,0.0134999920588282,-5.723650244380568e-05,0.0134999920588282,-1.963872070221866e-05,0.0134999920588282,-1.9638377092576817e-05
0.0142941092387592,-1.1008920147257817e-05,0.0142941092387592,-6.004072854369837e-05,0.0142941092387592,8.284570723234306e-06,0.0142941092387592,-2.1889579852742187e-05
0.0150882264186903,-1.02388e-05,0.0150882264186903,-4.6929080103894245e-05,0.0150882264186903,3.136700617374023e-05,0.0150882264186903,-2.212645215061757e-05
0.0158823435986214,-9.330537800414044e-06,0.0158823435986214,-2.370702061976257e-05,0.0158823435986214,3.798362208132296e-05,0.0158823435986214,-2.129715467194729e-05
0.0166764607785524,-6.170897622340827e-06,0.0166764607785524,-3.396820581874905e-06,0.0166764607785524,2.210656123547877e-05,0.0166764607785524,-2.073434446401466e-05
0.0174705779584835,-5.53903e-06,0.0174705779584835,7.119024395964492e-06,0.0174705779584835,7.276889923253752e-06,0.0174705779584835,-1.687390497142733e-05
0.0182646951384146,-6.111610556170502e-06,0.0182646951384146,6.793293128827142e-06,0.0182646951384146,6.092187164969902e-06,0.0182646951384146,-1.3122018887658995e-05
0.0190588123183456,-7.197769098321481e-06,0.0190588123183456,-3.6534524269104256e-06,0.0190588123183456,-7.533331971350438e-06,0.0190588123183456,-9.369965723399869e-06
0.0198529294982767,-7.55322e-06,0.0198529294982767,-1.8936600576902263e-05,0.0198529294982767,-3.8063211930453816e-05,0.0198529294982767,-7.118750644161073e-06
0.0206470466782078,-7.79011275463364e-06,0.0206470466782078,-3.3698397258731934e-05,0.0206470466782078,-5.710829728818042e-05,0.0206470466782078,-5.302133716973703e-06
0.0214411638581389,-8.26407744222226e-06,0.0214411638581389,-4.5032281780088986e-05,0.0214411638581389,-4.140027905999901e-05,0.0214411638581389,-5.696898593213069e-06
0.0222352810380699,-1.0949756758389571e-05,0.0222352810380699,-6.280539462281169e-05,0.0222352810380699,-1.4582843045886912e-05,0.0222352810380699,-1.0535076059098684e-05
0.023029398218001,-1.1937058110897971e-05,0.023029398218001,-8.06754693462515e-05,0.023029398218001,-3.682852621585137e-06,0.023029398218001,-1.2549183778204056e-05
0.0238235153979321,-8.244611745142911e-06,0.0238235153979321,-9.203070032776666e-05,0.0238235153979321,-4.9264548981368e-06,0.0238235153979321,-1.4583289936595333e-05
0.0246176325778631,-2.6856054737316124e-06,0.0246176325778631,-8.70149199209196e-05,0.0246176325778631,-1.6123382393473932e-05,0.0246176325778631,-1.0702914691114613e-05
